#TYPE Selected.System.Management.Automation.PSCustomObject
"ReviewId","RecipeId","AuthorId","AuthorName","Rating","Review","DateSubmitted","DateModified","Likes"
"1","34","25","William Hakala","5","3 medium onions made a very tasty part of a meal for 3 persons. The recipe ingredients reads ""20 butter"" and ""onions"" but doesn't say  how many.  I used about a 1/2 C. butter and 3 medium onions & it worked out fine and the cooking time seemed to be the right time.  3 med. onions would serve 4 people. They would be really yummy atop a thick juicy filet mignon! In fact, I believe that this recipe could be included with a large number of meals of various types.
","2000-12-20T09:13:51Z","2000-12-20T09:13:51Z",""
"2","9","45","Mariya Davis","5","The dish is wonderful! It so easy to make, it takes 15-20 min :). Also I like to serve it with butter and sour cream. Everytime I cook Spaetzle my husband ask if there anything is left. Though, I always cook more. Try, and you''ll see how easy and delicious it is!","2001-02-12T16:00:43Z","2001-02-12T16:00:43Z",""
"3","5","46","Eva Mann","5","Our family found this recipe simply delicious and easy to make.","2001-03-05T17:17:59Z","2001-03-05T17:17:59Z",""
"4","41","49","madpots","5","I tried this tonight and thought it waa excellent.I do not have a steamer,so I just cooked the asparagus in salted water for about 5 minutes, then drained it and put the vinaigrette on it.  It cooked so fast I was glad to serve it at room temperature.","2001-03-12T15:27:12Z","2001-03-12T15:27:12Z",""
"5","44","53","carol webber","5","this is a great treat and easy to make!!!!!","2001-03-24T09:25:42Z","2001-03-24T09:25:42Z",""
"6","42","55","roxanne","5","easy to make & tastes excellent","2001-03-25T16:48:41Z","2001-03-25T16:48:41Z",""
"7","36","66","Marie Nixon","4","I brought this to an office holiday party and everyone enjoyed it.","2001-04-24T17:25:47Z","2001-04-24T17:25:47Z",""
"8","41","51","Virginia Chandler","4","Easy and quick recipe. I substituted Sunflower Seeds for the Pine Nuts and it was very tasty.","2001-05-07T11:24:30Z","2001-05-07T11:24:30Z",""
"9","9","88","Gina Lukhart","1","As a German National, growing up in the birthplace of Spaetzle in the Swabian community, having had Spaetzle twice a week since I can remember, I have to tell you that Spaetzle are not made with milk. You just use water. In the old days Spaetzles dough was made thinner and put on a cuttingboard then scraped into boiling water. It only takes a couple of minutes..less then 5, for Spaetzle to be done. I actually have a spaetzlesmachine where you fill in the dough and it comes out looking like spagetti, but you stir them up and they break a little, cookingtime is 2 minutes...once they boil take them out. Spaetzlesmachine is much like a potatoricer, there are places on the web where you can buy those. Thats authentic Spaetzle. Sometimes my Mom just made Spaetzle, browned some onions in butter and put them over the spaetzle, serve with a fresh green salad and you got a complete meal.","2001-05-30T13:26:29Z","2001-05-30T13:26:29Z",""
"10","52","50","Charishma_Ramchanda","5","This is simply beautiful!
Thanks a zillion!","2001-06-05T09:24:25Z","2001-06-05T09:24:25Z","""3104"""
